Countries,Keywords,Ratings_Average
Italie,blackcurrant,4.42
Italie,blackberry,4.42
Italie,"black truffle",4.42
Italie,"black raspberry",4.42
Italie,"black plum",4.42
Italie,"black olive",4.42
Italie,"black licorice",4.42
Italie,"black fruit",4.42
Italie,"black cherry",4.42
Italie,"bitter almond",4.42
Italie,biscuit,4.42
Italie,bergamot,4.42
Italie,"bell pepper",4.42
Italie,"baking spice",4.42
Italie,apricot,4.42
Italie,allspice,4.42
Italie,acacia,4.42
Italie,"white pepper",4.41
Italie,"white peach",4.41
Italie,wax,4.41
Italie,tropical,4.41
Italie,"tobacco leaf",4.41
Italie,"toasted nuts",4.41
Italie,toast,4.41
Italie,thyme,4.41
Italie,teriyaki,4.41
Italie,tarragon,4.41
Italie,"sweet tobacco",4.41
Italie,straw,4.41
Italie,"stone fruit",4.41
Italie,stone,4.41
Italie,"sour cherry",4.41
Italie,slate,4.41
Italie,salt,4.41
Italie,sage,4.41
Italie,"rose water",4.41
Italie,"rose hip",4.41
Italie,"roasted tomato",4.41
Italie,"roasted plum",4.41
Italie,"ripe strawberry",4.41
Italie,rhubarb,4.41
Italie,"red-berry jam",4.41
Italie,"red currant",4.41
Italie,pomegranate,4.41
Italie,"pipe tobacco",4.41
Italie,"pink grapefruit",4.41
Italie,persimmon,4.41
Italie,peanut,4.41
Italie,oregano,4.41
Italie,"new leather",4.41
Italie,"morello cherry",4.41
Italie,marzipan,4.41
Italie,marjoram,4.41
Italie,lavender,4.41
Italie,kiwi,4.41
Italie,jasmine,4.41
Italie,honeysuckle,4.41
Italie,hoisin,4.41
Italie,hibiscus,4.41
Italie,hay,4.41
Italie,"green peppercorn",4.41
Italie,"green bell pepper",4.41
Italie,ginger,4.41
Italie,game,4.41
Italie,flint,4.41
Italie,fennel,4.41
Italie,elderflower,4.41
Italie,"dried rose",4.41
Italie,"dried herbs",4.41
Italie,dill,4.41
Italie,citrus,4.41
Italie,cheese,4.41
Italie,charcoal,4.41
Italie,chamomile,4.41
Italie,chalk,4.41
Italie,campfire,4.41
Italie,butterscotch,4.41
Italie,bramble,4.41
Italie,"blood orange",4.41
Italie,"bing cherry",4.41
Italie,"bay leaf",4.41
Italie,"baking chocolate",4.41
Italie,"baked apple",4.41
Italie,ash,4.41
Italie,arugula,4.41
Italie,aniseed,4.41
Italie,anise,4.41
Italie,almond,4.41
Italie,"yellow raisin",4.4
Italie,"yellow peach",4.4
Italie,"yellow apple",4.4
Italie,"wood varnish",4.4
Espagne,"wheat grass",4.4
Italie,"wet concrete",4.4
Italie,"wet asphalt",4.4
Italie,"unripe peach",4.4
Italie,"tree bark",4.4
Italie,"toasted bread",4.4
Italie,"toasted almond",4.4
Italie,"tamarind candy",4.4
Italie,tamarind,4.4
Italie,"szechuan peppercorn",4.4
Italie,sweaty,4.4
Italie,"sun-dried tomato",4.4
Italie,sourdough,4.4
Italie,"sour cherry pie",4.4
Italie,"roasted meat",4.4
Italie,"roasted almond",4.4
Italie,"red huckleberry",4.4
Italie,"raspberry sauce",4.4
Italie,"potting soil",4.4
Italie,"pink lady apple",4.4
Espagne,"peach preserves",4.4
Italie,"passion fruit",4.4
Italie,"parmesan cheese",4.4
Italie,papaya,4.4
Italie,"orange zest",4.4
Italie,"orange blossom",4.4
Italie,mulberry,4.4
Italie,"meyer lemon",4.4
Espagne,marionberry,4.4
Italie,mango,4.4
Italie,"macadamia nut",4.4
Italie,lychee,4.4
Italie,"lithium grease",4.4
Italie,lime,4.4
Italie,lily,4.4
Italie,juniper,4.4
Italie,"jasmine green tea",4.4
Italie,honeycomb,4.4
Italie,"grilled pineapple",4.4
Italie,"grilled meat",4.4
Italie,"green papaya",4.4
Italie,"green mango",4.4
Italie,"green herbs",4.4
Italie,"green fig",4.4
Italie,grapefruit,4.4
Italie,gooseberry,4.4
Italie,"crushed gravel",4.4
Italie,"clay pot",4.4
Espagne,"citrus oil",4.4
Italie,chard,4.4
Italie,"candied ginger",4.4
Italie,"bruised apple",4.4
Italie,"brown butter",4.4
Espagne,"bread yeast",4.4
Italie,"brazil nut",4.4
Italie,"blackberry sauce",4.4
Italie,beeswax,4.4
Italie,"beef broth",4.4
Italie,"barbecue smoke",4.4
Italie,banana,4.4
Italie,asparagus,4.4
Italie,apple,4.4
Italie,"aleppo pepper",4.4
Italie,"yellow plum",4.39
Espagne,"sweaty saddle",4.39
Italie,plastic,4.39
Italie,"pink peppercorn",4.39
Italie,mace,4.39
Italie,"lemon zest",4.39
Italie,"lemon peel",4.39
Italie,"green almond",4.39
Italie,geranium,4.39
Italie,"fresh strawberry",4.39
Italie,"fennel seed",4.39
Italie,chutney,4.39
Italie,"chewing tobacco",4.39
Italie,"caramel popcorn",4.39
Italie,"apricot jam",4.39
Italie,"apple blossom",4.39
Italie,"preserved lemon",4.38
Italie,"pine bark",4.38
Italie,"oolong tea",4.38
Italie,magnolia,4.38
Italie,"lime peel",4.38
Italie,huckleberry,4.38
Italie,"graham cracker",4.38
Italie,"asian pear",4.38
Italie,"acai berry",4.38
Espagne,"wood burner",4.37
Italie,"mirabelle plum",4.37
Italie,"lime zest",4.37
Italie,"lemon pith",4.37
Italie,"lemon curd",4.37
Italie,"green pineapple",4.37
Italie,"green pear",4.37
Italie,"green melon",4.37
Italie,"berry sauce",4.37
Italie,"5-spice powder",4.37
Italie,starfruit,4.36
Italie,sassafras,4.36
Italie,lanolin,4.36
Italie,"honeydew melon",4.36
Italie,gardenia,4.36
Espagne,"forest mushroom",4.36
Italie,"cherry cough syrup",4.36
Italie,"curry spice",4.35
