wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country
Sorì Tildìn (Barbaresco) Langhe,Gaja Sorì Tildìn (Barbaresco) Langhe 2003,2003,4.6,3955,4.6,155,796.6666666666666,0,Italie
Barbaresco,Gaja Barbaresco 1995,1995,4.5,24516,4.4,217,683.3333333333334,0,Italie
Sorì Tildìn (Barbaresco) Langhe,Gaja Sorì Tildìn (Barbaresco) Langhe 1999,1999,4.6,3955,4.6,207,1081.6666666666667,0,Italie
Tignanello,Antinori Tignanello 1997,1997,4.5,142513,4.6,1103,655.0,0,Italie
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 1999,1999,4.6,42456,4.7,666,1266.6666666666665,1,France
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 1999,1999,4.6,42456,4.7,666,1266.6666666666665,1,France
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 2000,2000,4.6,42456,4.6,959,840.0,0,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1997,1997,4.6,39283,4.7,753,1651.6666666666665,0,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1986,1986,4.6,39283,4.7,1273,3985.0,0,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1992,1992,4.6,39283,4.5,449,1443.4,0,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1977,1977,4.6,39283,4.5,134,847.0,0,France
Brunello di Montalcino,Lisini Brunello di Montalcino 2004,2004,4.3,7929,4.4,177,190.0,0,Italie
Altero Brunello di Montalcino,Poggio Antico Altero Brunello di Montalcino 2004,2004,4.4,4620,4.5,642,165.0,0,Italie
Barolo Bricco Gattera,Cordero di Montezemolo Barolo Bricco Gattera 2004,2004,4.4,2365,4.5,46,333.3333333333333,0,Italie
Special Selection Cabernet Sauvignon,Caymus Special Selection Cabernet Sauvignon 1997,1997,4.7,41236,4.6,299,530.0,0,États-Unis
Sperss Barolo,Gaja Sperss Barolo 2005,2005,4.6,10950,4.6,597,711.6666666666666,0,Italie
Vürsù Barbaresco Starderi,La Spinetta Vürsù Barbaresco Starderi 2004,2004,4.4,4414,4.4,261,410.0,0,Italie
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,2003,4.6,39283,4.8,1000,2533.333333333333,1,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,2003,4.6,39283,4.8,1000,2533.333333333333,1,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2002,2002,4.6,39283,4.6,1332,1850.0,0,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2004,2004,4.6,39283,4.7,981,1965.0,0,France
Cuvée Nicolas François Billecart Brut Champagne,Billecart-Salmon Cuvée Nicolas François Billecart Brut Champagne 1998,1998,4.5,6228,4.4,314,480.0,0,France
Scrio,Le Macchiole Scrio 2004,2004,4.3,2322,4.5,121,325.0,0,Italie
Messorio,Le Macchiole Messorio 2005,2005,4.5,5514,4.7,248,560.0,0,Italie
Tignanello,Antinori Tignanello 2003,2003,4.5,142513,4.5,1028,560.0,0,Italie
Cepparello Red,Isole e Olena Cepparello Red 2003,2003,4.3,12191,4.4,245,198.33333333333334,0,Italie
Tignanello,Antinori Tignanello 1989,1989,4.5,142513,4.5,110,383.33333333333337,0,Italie
