wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Barolo Ginestra Vigna del Gris,Conterno Fantino Barolo Ginestra Vigna del Gris 2001,2001,4.3,3333,4.5,30,325.0,0,Italie,34.88000073672328,0.01323076923076923,1215.0,972.0,1093.5
Barolo Rocche,Renato Ratti Barolo Rocche 2000,2000,4.4,1615,0.0,2,368.33333333333337,0,Italie,32.50319703688973,0.011945701357466063,1400.0,1028.0,1214.0
Vürsù Barbaresco Valeirano,La Spinetta Vürsù Barbaresco Valeirano 2003,2003,4.4,3263,4.6,127,278.3333333333333,0,Italie,35.59777010501061,0.015808383233532935,1139.0,828.0,983.5
Amarone della Valpolicella Classico,Bertani Amarone della Valpolicella Classico 2000,2000,4.4,18720,4.4,548,283.3333333333333,0,Italie,43.284330100138966,0.015529411764705885,484.0,840.0,662.0
Bric Dël Fiasc Barolo,Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,4.3,4947,4.5,341,295.0,1,Italie,36.57810742827915,0.014576271186440677,1044.0,890.0,967.0
Bric Dël Fiasc Barolo,Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,4.3,4947,4.5,341,295.0,1,Italie,36.57810742827915,0.014576271186440677,1044.0,890.0,967.0
Bric Dël Fiasc Barolo,Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,4.3,4947,4.5,341,295.0,1,Italie,36.57810742827915,0.014576271186440677,1044.0,890.0,967.0
Bric Dël Fiasc Barolo,Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,4.3,4947,4.5,341,295.0,1,Italie,36.57810742827915,0.014576271186440677,1044.0,890.0,967.0
Redigaffi Toscana,Tua Rita Redigaffi Toscana 2005,2005,4.5,5212,4.4,164,658.3333333333334,0,Italie,38.51423522210131,0.006835443037974683,837.0,1430.0,1133.5
Barbaresco,Gaja Barbaresco 1982,1982,4.5,24516,4.5,156,711.6666666666666,0,Italie,45.4818656007253,0.006323185011709602,341.0,1470.0,905.5
Barbaresco,Gaja Barbaresco 1988,1988,4.5,24516,4.5,170,683.3333333333334,0,Italie,45.4818656007253,0.006585365853658536,341.0,1444.0,892.5
Redigaffi Toscana,Tua Rita Redigaffi Toscana 1995,1995,4.5,5212,0.0,11,614.1666666666666,0,Italie,38.51423522210131,0.007327001356852104,837.0,1375.0,1106.0
Darmagi Langhe,Gaja Darmagi Langhe 2000,2000,4.5,3184,4.6,147,471.6666666666667,0,Italie,36.29652096133923,0.009540636042402826,1076.0,1188.0,1132.0
Barbaresco,Gaja Barbaresco 2005,2005,4.5,24516,4.6,932,655.0,0,Italie,45.4818656007253,0.006870229007633588,341.0,1421.0,881.0
Costa Russi (Barbaresco) Langhe,Gaja Costa Russi (Barbaresco) Langhe 1999,1999,4.6,2876,4.6,163,925.0,0,Italie,36.63511630666831,0.004972972972972973,1030.0,1595.0,1312.5
25 anni Montefalco Sagrantino,Arnaldo-Caprai 25 anni Montefalco Sagrantino 2001,2001,4.3,5419,4.4,143,113.33333333333331,0,Italie,36.969966274934286,0.03794117647058824,993.0,288.0,640.5
Sorì Tildìn (Barbaresco) Langhe,Gaja Sorì Tildìn (Barbaresco) Langhe 2003,2003,4.6,3955,4.6,155,796.6666666666666,0,Italie,38.10058504892807,0.005774058577405858,886.0,1515.0,1200.5
Barbaresco,Gaja Barbaresco 1995,1995,4.5,24516,4.4,217,683.3333333333334,0,Italie,45.4818656007253,0.006585365853658536,341.0,1444.0,892.5
Sorì Tildìn (Barbaresco) Langhe,Gaja Sorì Tildìn (Barbaresco) Langhe 1999,1999,4.6,3955,4.6,207,1081.6666666666667,0,Italie,38.10058504892807,0.004252696456086286,886.0,1699.0,1292.5
Tignanello,Antinori Tignanello 1997,1997,4.5,142513,4.6,1103,655.0,0,Italie,53.402348261699956,0.006870229007633588,7.0,1421.0,714.0
