vintage,vintage_year,rank,previous_rank,award_year,style_name,price_euros,bottle_volume_ml
Laurent-Perrier Grand Siècle Champagne (Grande Cuvée),N.V.,10,10,2019,French Champagne N.V.,183.7,750
La Grange des Pères Vin de Pays de l'Hérault 2011,2011,1,1,2016,Languedoc-Roussillon White,683.75,750
Château Rayas Châteauneuf-du-Pape 2001,2001,1,1,2016,Southern Rhône Red,3395.0,750
Château Rayas Châteauneuf-du-Pape 2001,2001,1,1,2017,Southern Rhône Red,3395.0,750
Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé) 2010,2010,2,2,2019,Bordeaux Margaux,832.5,750
Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé) 2010,2010,2,2,2020,Bordeaux Margaux,832.5,750
Krug Clos du Mesnil 2000,2000,6,6,2016,French Champagne,3096.25,750
Château Rayas Châteauneuf-du-Pape 2005,2005,1,1,2018,Southern Rhône Châteauneuf-du-Pape Red,3181.25,750
Château Ducru-Beaucaillou Saint-Julien (Grand Cru Classé) 2010,2010,2,2,2019,Bordeaux Saint-Julien,533.75,750
Château Ducru-Beaucaillou Saint-Julien (Grand Cru Classé) 2010,2010,1,1,2020,Bordeaux Saint-Julien,533.75,750
Burmester Tordiz 40 Year Old Tawny Port,N.V.,1,1,2020,Portuguese Tawny Port,337.5,750
La Spinetta Vürsù Barolo Campè 2004,2004,4,4,2016,Northern Italy Red,232.5,750
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2007,2007,3,3,2018,Italian Valpolicella Red,243.75,750
Trimbach Clos Sainte Hune Riesling Alsace 2012,2012,1,1,2019,Alsace Riesling,600.0,1500
Biondi-Santi Brunello di Montalcino 2000,2000,10,10,2018,Italian Brunello,331.25,750
Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 2003,2003,2,2,2018,Bordeaux Pauillac,1686.25,750
Ornellaia Bolgheri Superiore 2010,2010,4,4,2017,Italian Bolgheri,597.5,750
Château Suduiraut Sauternes (Premier Grand Cru Classé) 2007,2007,4,4,2018,Bordeaux Sauternes,49.9,750
Ruinart Dom Ruinart Blanc de Blancs Brut Champagne 2010,2010,10,10,2016,French Champagne,287.0,750
Biserno Lodovico 2013,2013,5,5,2020,Tuscan Red,425.0,750
Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 1999,1999,4,4,2016,Bordeaux Médoc,1323.75,750
Château Pavie Macquin Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2000,2000,7,7,2018,Bordeaux Saint-Émilion,287.5,750
Zýmē Kairos 2009,2009,8,8,2016,Northern Italy Red,221.25,750
Zýmē Kairos 2012,2012,5,5,2019,Northern Italy Red,221.25,750
Mascarello Giuseppe e Figlio Barolo Monprivato 2010,2010,2,2,2016,Italian Barolo,705.0,750
Mascarello Giuseppe e Figlio Barolo Monprivato 2010,2010,4,4,2017,Italian Barolo,705.0,750
Mascarello Giuseppe e Figlio Barolo Monprivato 2010,2010,8,8,2018,Italian Barolo,705.0,750
Le Macchiole Messorio 2010,2010,6,6,2016,Central Italy Red,533.75,750
Château Mouton Rothschild Pauillac (Premier Grand Cru Classé) 2010,2010,3,3,2017,Bordeaux Pauillac,1038.63,750
Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape 2011,2011,2,2,2018,Southern Rhône Châteauneuf-du-Pape Red,520.0,750
Château des Tours Vacqueyras 2011,2011,4,4,2019,Southern Rhône Red,250.0,750
Château des Tours Vacqueyras 2011,2011,1,1,2020,Southern Rhône Red,250.0,750
La Grange des Pères Vin de Pays de l'Hérault 2012,2012,1,1,2020,Languedoc-Roussillon Red,683.75,750
