group_name,wine_name,acidity,intensity,sweetness,tannin,price_euros_liter
Louis Roederer Cristal Brut Champagne (Millésimé) 2000,Cristal Brut Champagne (Millésimé),4.416872,3.902971,,,840.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1997,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,1651.6666666666665
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1986,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,3985.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1992,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,1443.4
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1977,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,847.0
Lisini Brunello di Montalcino 2004,Brunello di Montalcino,3.8106313,3.2212718,1.6867871,3.5761602,190.0
Poggio Antico Altero Brunello di Montalcino 2004,Altero Brunello di Montalcino,3.8212059,3.266036,1.5881945,3.517492,165.0
Cordero di Montezemolo Barolo Bricco Gattera 2004,Barolo Bricco Gattera,4.5690866,3.750443,1.6829987,4.3506813,333.3333333333333
Caymus Special Selection Cabernet Sauvignon 1997,Special Selection Cabernet Sauvignon,3.3095143,4.7616777,1.9168729,3.2025323,530.0
Gaja Sperss Barolo 2005,Sperss Barolo,4.666537,3.8432937,1.6009856,4.3828244,711.6666666666666
La Spinetta Vürsù Barbaresco Starderi 2004,Vürsù Barbaresco Starderi,4.747835,3.9129653,1.6145903,4.2625036,410.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,2533.333333333333
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2002,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,1850.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2004,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,1965.0
Billecart-Salmon Cuvée Nicolas François Billecart Brut Champagne 1998,Cuvée Nicolas François Billecart Brut Champagne,4.494786,4.00024,,,480.0
Le Macchiole Scrio 2004,Scrio,3.1090095,3.4650319,1.7177784,2.986092,325.0
Le Macchiole Messorio 2005,Messorio,3.0969987,3.5081158,1.9021307,3.0368488,560.0
Antinori Tignanello 2003,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,560.0
Isole e Olena Cepparello Red 2003,Cepparello Red,3.1967108,3.3365555,1.694051,3.0117443,198.33333333333334
Antinori Tignanello 1989,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,383.33333333333337
Gaja Barbaresco 2000,Barbaresco,4.6545653,3.6966581,1.6031228,4.015384,655.0
Le Macchiole Messorio 2004,Messorio,3.0969987,3.5081158,1.9021307,3.0368488,825.0
Krug Clos du Mesnil 1990,Clos du Mesnil,4.546456,3.9653275,,,6690.0
Krug Collection 1990,Collection,4.5422707,4.2647123,,,3273.3333333333335
Giacomo Conterno Barolo Cascina Francia 2006,Barolo Cascina Francia,4.5209603,3.7836592,1.6290693,4.3313737,796.6666666666666
Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 2006,Pessac-Léognan (Grand Cru Classé de Graves),4.2193274,4.203469,1.6842046,4.235782,200.06666666666666
Biondi-Santi Brunello di Montalcino Riserva 2001,Brunello di Montalcino Riserva,3.830859,3.1464493,1.650779,3.602499,1060.0
Domaine de La Romanée-Conti Romanée-Saint-Vivant Grand Cru (Marey-Monge) 1993,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.108734,3.0237799,1.9145561,2.5899088,11285.0
Domaine des Lambrays Clos des Lambrays Grand Cru 2005,Clos des Lambrays Grand Cru,4.186641,2.967672,1.7482635,2.650363,1252.5
Giacomo Conterno Barolo Riserva Monfortino 1998,Barolo Riserva Monfortino,4.513654,3.747927,1.8228105,4.350989,3663.3333333333335
Château Gruaud Larose Saint-Julien (Grand Cru Classé) 2005,Saint-Julien (Grand Cru Classé),4.1619315,3.7768838,1.6095014,3.8521972,273.3333333333333
Château Rayas Châteauneuf-du-Pape 2006,Châteauneuf-du-Pape,3.0970612,4.3464823,2.080589,2.7852674,4411.666666666667
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2003,Amarone della Valpolicella Monte Lodoletta,2.235851,4.8174415,3.3512034,2.4933603,911.6666666666666
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,Valpolicella Superiore Monte Lodoletta,3.5089638,3.4422984,2.3023562,2.86965,325.0
Dal Forno Romano Recioto della Valpolicella (Monte Lodoletta) 1997,Recioto della Valpolicella (Monte Lodoletta),,,,,1003.3333333333334
Domenico Clerico Barolo Ciabot Mentin Ginestra 2006,Barolo Ciabot Mentin Ginestra,4.607701,3.9292097,1.6148766,4.4585395,225.0
Castello del Terriccio Lupicaia 2006,Lupicaia,3.1440911,3.582856,1.7940733,3.1133897,325.0
Leonetti Cabernet Sauvignon 2006,Cabernet Sauvignon,3.8692966,3.9644887,1.5403899,3.7955115,268.3333333333333
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2001,Amarone della Valpolicella Monte Lodoletta,2.235851,4.8174415,3.3512034,2.4933603,1060.0
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2002,Amarone della Valpolicella Monte Lodoletta,2.235851,4.8174415,3.3512034,2.4933603,1048.3333333333333
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2003,Valpolicella Superiore Monte Lodoletta,3.5089638,3.4422984,2.3023562,2.86965,283.3333333333333
Castello di Ama L'Apparita 1995,L'Apparita,3.1353738,3.4543076,1.8096386,3.0418284,383.33333333333337
Domaine des Lambrays Clos des Lambrays Grand Cru 2002,Clos des Lambrays Grand Cru,4.186641,2.967672,1.7482635,2.650363,1124.1666666666667
Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2006,L'Extravagant de Doisy-Daëne Sauternes,4.4039354,4.838194,4.980402,,736.6666666666667
Nicolas Joly Clos de la Coulée de Serrant 2008,Clos de la Coulée de Serrant,4.7550335,2.5083046,1.8554152,,353.3333333333333
Antinori Tenuta Tignanello 'Solaia' 1997,Tenuta Tignanello 'Solaia',3.0641637,3.4507132,1.8885487,2.9705827,982.5
Quintarelli Giuseppe Veneto Rosso del Bepi 1999,Veneto Rosso del Bepi,2.4586756,3.9865077,2.4127154,2.9060361,325.0
Domaine Sylvain Cathiard Vosne-Romanée 1er Cru 'Aux Malconsorts' 2008,Vosne-Romanée 1er Cru 'Aux Malconsorts',4.2401404,3.0330567,1.7638865,2.6187313,2790.0
Antinori Tenuta Tignanello 'Solaia' 1999,Tenuta Tignanello 'Solaia',3.0641637,3.4507132,1.8885487,2.9705827,925.0
Casanova di Neri Cerretalto Brunello di Montalcino 2004,Cerretalto Brunello di Montalcino,3.8362374,3.50508,1.7550168,3.6501353,711.6666666666666
Louis Roederer Cristal Brut Champagne (Millésimé) 2008,Cristal Brut Champagne (Millésimé),4.416872,3.902971,,,1380.8333333333333
Krug Vintage 2008,Vintage,4.515321,4.168281,,,1680.0
Krug Clos du Mesnil 1998,Clos du Mesnil,4.546456,3.9653275,,,4696.666666666666
Renato Ratti Barolo Rocche 2006,Barolo Rocche,4.443262,3.7750337,1.7726882,4.192189,278.3333333333333
Mocali Brunello di Montalcino Riserva 2003,Brunello di Montalcino Riserva,3.7429292,3.415939,1.3216767,3.397212,170.0
Conterno Fantino Barolo Sorì Ginestra 2008,Barolo Sorì Ginestra,4.607528,3.8768318,1.4964424,4.4165354,361.6666666666667
Château Margaux Château Margaux (Premier Grand Cru Classé) 2009,Château Margaux (Premier Grand Cru Classé),4.170338,3.6746032,1.6031541,3.8258963,1423.3333333333333
Krug Collection 1995,Collection,4.5422707,4.2647123,,,2705.0
Burmester Colheita Port 1975,Colheita Port,3.0321395,4.412705,4.62602,,197.0933333333333
Grattamacco Bolgheri Superiore 2005,Bolgheri Superiore,3.4662778,3.9200654,1.6885566,3.933463,388.3333333333333
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2008,Amarone della Valpolicella Monte Lodoletta,2.235851,4.8174415,3.3512034,2.4933603,930.0
Château Trotanoy Pomerol 2005,Pomerol,3.4038813,4.1548076,1.6839123,3.5436969,996.6666666666667
Château de Beaucastel Châteauneuf-du-Pape 2009,Châteauneuf-du-Pape,3.1016986,4.6371837,1.724843,2.8933873,413.3333333333333
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.508223,3.999383,,,3843.3333333333335
Château Léoville Las Cases Saint-Julien (Grand Cru Classé) 2007,Saint-Julien (Grand Cru Classé),4.188057,3.7862008,1.6340022,3.8746238,541.6666666666666
Petrolo Galatrona 2007,Galatrona,3.112219,3.493791,1.8441745,3.055552,413.3333333333333
Antinori Tenuta Tignanello 'Solaia' 2007,Tenuta Tignanello 'Solaia',3.0641637,3.4507132,1.8885487,2.9705827,891.6666666666667
Gaja Barbaresco 2008,Barbaresco,4.6545653,3.6966581,1.6031228,4.015384,626.6666666666667
Gaja Sorì San Lorenzo 2006,Sorì San Lorenzo,4.7262807,3.8454664,1.7701341,4.219747,1223.3333333333335
Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé) 1999,Grand Vin de Château Palmer (Grand Cru Classé),4.143142,3.7460737,1.696457,3.7986615,840.0
Tenuta San Guido Sassicaia 2008,Sassicaia,3.488095,3.7838812,1.7056901,3.8796737,825.0
Le Macchiole Messorio 2007,Messorio,3.0969987,3.5081158,1.9021307,3.0368488,560.0
Château Lafite Rothschild Carruades de Lafite Pauillac 2009,Carruades de Lafite Pauillac,4.112083,4.1697683,1.6171026,4.0219874,915.2
Vieux Château Certan Pomerol 2009,Pomerol,3.3891852,4.1182284,1.6747634,3.4322271,564.6666666666666
Antinori Tignanello 1998,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,546.6666666666666
Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2004,Saint-Émilion Grand Cru (Premier Grand Cru Classé),3.36467,3.9971006,1.7328519,3.43769,1565.0
Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2009,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2.847803,3.7871275,2.0481691,,2705.0
Tenuta San Guido Sassicaia 2007,Sassicaia,3.488095,3.7838812,1.7056901,3.8796737,796.6666666666666
Château La Fleur-Pétrus Pomerol 2010,Pomerol,3.3711822,4.098032,1.801,3.4681149,768.3333333333333
