country_name,average_rating
"Israël",4.5
Allemagne,4.5
"États-Unis",4.4905
Moldavie,4.48
Hongrie,4.4727
"Afrique du Sud",4.4591
Australie,4.4583
France,4.4471
Espagne,4.4436
Portugal,4.4357
Chili,4.4313
Italie,4.43
Argentine,4.4174
Roumanie,4.4
"Grèce",4.4
Suisse,4.35
Croatie,4.3
