country_name,average_rating,avg_ratings_count,wines_per_country
"Israël",4.5,894.0,1
Allemagne,4.5,590.0,14
"États-Unis",4.4905,11274.0,74
Moldavie,4.48,2823.0,5
Hongrie,4.4727,2779.0,11
"Afrique du Sud",4.4591,2727.0,22
Australie,4.4583,4345.0,12
France,4.4471,6419.0,331
Espagne,4.4436,7944.0,94
Portugal,4.4357,2231.0,28
Chili,4.4313,9954.0,16
Italie,4.43,5577.0,383
Argentine,4.4174,12334.0,23
Roumanie,4.4,166.0,1
"Grèce",4.4,305.0,2
Suisse,4.35,524.0,2
Croatie,4.3,292.0,1
