name,avg_ratings_average,total_ratings_count
Palazzi Rosso Toscana,0.0,41
Roccolo Ludwig Barth von Barthenau,0.0,41
Clos de Vougeot,0.0,40
Harimann Montepulciano d'Abruzzo,0.0,38
Richebourg Grand Cru,0.0,37
Chambertin Clos de Bèze Grand Cru,0.0,35
Le Lucére Brunello di Montalcino Riserva,0.0,35
Clos des Goisses Champagne,0.0,33
Les Beaux Monts Vosne-Romanée 1er Cru,0.0,32
Aegusa,0.0,31
Chambolle-Musigny Premier Cru 'Les Feusselottes',0.0,31
Ligne de Crete Les Grandes Vignes Hermitage,0.0,31
Predappio Massera,0.0,29
Corton-Bressandes Grand Cru,0.0,28
Nuits-Saint-Georges 1er Cru 'Clos des Corvées',0.0,28
Finn Pinot Noir,0.0,27
La Landonne Côte-Rôtie,0.0,27
Le Montrachet Grand Cru,0.0,27
Chassagne-Montrachet 1er Cru 'Morgeot',0.0,26
Grands-Echezeaux Grand Cru,0.0,25
Rocche dell'Annunziata Barolo,0.0,25
Duna Mirante Primitivo di Manduria,0.0,24
Barolo Rocche di Castiglione,0.0,23
Boghis Climat,0.0,23
Faith,0.0,23
Glesie Climat,0.0,23
Alàuda,0.0,22
Camí Pesseroles,0.0,22
Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,0.0,22
Gold Series Syrah,0.0,22
Interpretación,0.0,22
Kupra Marche,0.0,22
Bramare Marchiori Vineyard Malbec,0.0,21
Charity Edition Nebbiolo d'Alba Arione,0.0,21
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,0.0,21
Rocche dell'Annunziata Torriglione Barolo,0.0,21
Schlehdorn Riesling Trocken,0.0,21
888 Pinotage Gold,0.0,20
Amarone Senza Titolo,0.0,20
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,0.0,20
'Giulio Ferrari' Riserva del Fondatore Rosé,0.0,19
Barolo Bussia Romirasco,0.0,19
Bruno Lunelli Riserva,0.0,19
Champagne,0.0,19
Clos de la Roche Grand Cru,0.0,19
Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,0.0,19
Dogs of the Barossa Shiraz,0.0,19
Valdegatiles Ribera del Duero,0.0,19
110 e Lode Merlot,0.0,18
Castellberg Pinot Noir,0.0,18
Chambolle-Musigny Les Cabottes,0.0,18
Clos de Tart Grand Cru,0.0,18
Coteau de Vernon Condrieu,0.0,18
Cěrǎsum Riserva Amarone della Valpolicella,0.0,18
Peña Lobera,0.0,18
Elevage Branco,0.0,17
Hyde Vineyard Chardonnay,0.0,17
Pandorga,0.0,17
Vignes Centenaires 'La Richemone',0.0,17
Carmin,0.0,16
Chambertin-Clos-de-Beze Grand Cru,0.0,16
Chapelle-Chambertin Grand Cru,0.0,16
EABA,0.0,16
Mark Bradford Vineyard Pinot Noir,0.0,16
Pavillon Rouge du Château Margaux,0.0,16
Puligny-Montrachet Premier Cru Les Combettes,0.0,16
Tessons Clos de Mon Plaisir Meursault,0.0,16
The Armagh Shiraz,0.0,16
Vinha dos Utras,0.0,16
Vosne-Romanée 1er Cru 'Les Suchots',0.0,16
Amarone della Valpolicella Classico Riserva,0.0,15
Asili Barbaresco Vecchie Viti,0.0,15
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',0.0,15
Barolo Riserva Cannubi 1752,0.0,15
Beyond the Clouds,0.0,15
Chloe Chardonnay,0.0,15
Côte à Côte Estate,0.0,15
Giunonico Riserva Primitivo di Manduria,0.0,15
Guerriero del Mare,0.0,15
Les Bessards Hermitage,0.0,15
Puligny-Montrachet Premier Cru Champ-Canet,0.0,15
Rioja Blanco Reserva,0.0,15
123 Brunello di Montalcino Riserva,0.0,14
Amancio,0.0,14
Bonnes Mares Grand Cru,0.0,14
Chemin du Bois Champagne,0.0,14
Ciliegio Amarone della Valpolicella,0.0,14
Corton-Charlemagne Grand Cru Blanc,0.0,14
Côte Rôtie La Brocarde,0.0,14
Les Sentiers Chambolle-Musigny 1er Cru,0.0,14
Montefico Barbaresco Vecchie Viti,0.0,14
Puligny-Montrachet 1er Cru 'Les Champs Gains',0.0,14
Raut Lagrein,0.0,14
Toknar,0.0,14
Touran,0.0,14
Croce Del Gal Riserva Amarone della Valpolicella Classico,0.0,13
Fossati Barolo,0.0,13
Il 'Divasco' Riserva,0.0,13
Magma,0.0,13
Montrachet Grand Cru Blanc,0.0,13
The Laird,0.0,13
Aphrodite,0.0,12
Cabernet Sauvignon Coeur De Vallée,0.0,12
Mossone,0.0,12
Παλιές Ρίζες (Palies Rizes),0.0,12
Chablis Grand Cru 'Les Clos',0.0,11
Chablis Grand Cru 'Valmur',0.0,11
Mironia Black Edition Tempranillo,0.0,11
Nebro Ribera del Duero,0.0,11
Amarone della Valpolicella Riserva,0.0,10
Corton Grand Cru 'Clos Rognet',0.0,10
Cuvée Madame Barsac,0.0,10
Hohenmorgen G.C,0.0,10
Kalkofen G.C,0.0,10
Puligny-Montrachet 1er Cru 'La Garenne',0.0,10
Semel Pater,0.0,10
Cuvée N Viñas Viejas,0.0,9
Grace Vineyard Pinot Noir,0.0,9
Il San Lorenzo Bianco,0.0,9
Reserve Chardonnay,0.0,9
Vin de Paille,0.0,9
Bentrock Vineyard Chardonnay,0.0,8
Bual Madeira,0.0,8
Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,0.0,8
Clos Saint Denis Grand Cru,0.0,8
Crichet Pajè Barbaresco,0.0,8
El Escolladero,0.0,8
Fort Ross Seaview Home Field Pinot Noir,0.0,8
Graal Amarone della Valpolicella Valpantena,0.0,8
Gran Buig Priorat,0.0,8
Helichrysum Brunello di Montalcino,0.0,8
Mágico,0.0,8
Octavius Amarone della Valpolicella Riserva,0.0,8
Puligny-Montrachet Premier Cru ' Clos de la Truffière',0.0,8
Reserva Particular de Recaredo Gran Reserva Brut Nature,0.0,8
Trittenheimer Apotheke,0.0,8
Vieilles Vignes Mazis-Chambertin Grand Cru,0.0,8
Vosne-Romanée Premier Cru Les Petits Monts,0.0,8
Attunga 1865 Shiraz,0.0,7
Barolo Riserva Speciale Granbussia,0.0,7
Chambolle-Musigny Premier Cru Les Charmes,0.0,7
Chevalier-Montrachet Grand Cru Les Demoiselles,0.0,7
Clos Saint-Denis Grand Cru,0.0,7
Estate Reserve Viognier,0.0,7
Tourmaline Pomerol,0.0,7
Zeltinger Sonnenuhr Beerenauselese Riesling,0.0,7
Amarone della Valpolicella Classico Mater,0.0,6
Aszú 6 Puttonyos Tokaj,0.0,6
Collina Rionda di Serralunga Barolo,0.0,6
Fratini Bolgheri Superiore,0.0,6
Les Boudots Nuits-Saint-Georges 1er Cru,0.0,6
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,0.0,6
Nuits-Saint-Georges 1er Cru 'Aux Murgers',0.0,6
Paralupi Appassimento,0.0,6
Pedrouzos Godello,0.0,6
The Journeyman,0.0,6
Champ Cain Extra Brut Champagne Grand Cru 'Avize',0.0,5
Charlemagne Grand Cru,0.0,5
Librante Primitivo di Manduria,0.0,5
Meursault 1er Cru 'Genevrières' Blanc,0.0,5
Nuits-Saint-Georges,0.0,5
Nuits-Saint-Georges 1er Cru 'Aux Thorey',0.0,5
Recioto della Valpolicella Classico Riserva,0.0,5
Todeschini Distique Saint-Émilion Grand Cru,0.0,5
Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize',0.0,5
Échézeaux Grand Cru,0.0,5
Aszú Eszencia,0.0,4
Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',0.0,4
L'Amarone del Maestro Fornaser,0.0,4
Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,0.0,4
Les Riceys Cuvée Cyriès Brut Millesimé Champagne,0.0,4
Oh Carlos Manuel! Tinto,0.0,4
Quarto Vecchio Amarone della Valpolicella Classico Riserva,0.0,4
Vieille Vigne Griottes-Chambertin Grand Cru,0.0,4
Big'd Big Barolo,0.0,3
Cristal Rosé Vinothèque,0.0,3
Gevrey Chambertin 1er Cru 'Aux Combottes',0.0,3
La Serra Barolo,0.0,3
Réservé Châteauneuf-du-Pape,0.0,3
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',0.0,3
Zeltinger Sonnenuhr Beerenauslese,0.0,3
Dolç de L'Obac,0.0,2
Es Riserva,0.0,2
Les Blanchiens Brut Nature Champagne Premier Cru,0.0,2
Rocche dell'Annunziata Barolo Riserva,0.0,2
Saint-Émilion Grand Cru (Grand Cru Classé),0.0,2
Scharzhofberger Riesling Eiswein,0.0,2
Vieilles Vignes Châteauneuf-du-Pape Blanc,0.0,2
Vieux Marc de Bandol,0.0,2
Barolo Bussia Vigna Munie,0.0,1
Batard-Montrachet Grand Cru,0.0,1
Charmes-Chambertin Grand Cru Les Mazoyères,0.0,1
Clos de Bèze Grand Cru,0.0,1
Fino La Barajuela,0.0,1
Freienfeld Cabernet Sauvignon Riserva,0.0,1
Graacher Himmelreich Riesling Auslese 'Goldkapsel',0.0,1
Grande Cuvée I Terlaner,0.0,1
Meursault 1er Cru 'Perrières',0.0,1
Palo Cortado Añada,0.0,1
Puligny-Montrachet Premier Cru La Garenne,0.0,1
VT Vendemmia Tardiva,0.0,1
Vosne-Romanée 1er Cru Aux Malconsorts Christiane,0.0,1
Yarden Katzrin,0.0,1
Alpine Hillside Pinot Noir,0.0,0
Chambolle-Musigny 1er Cru 'Les Amoureuses',0.0,0
Eszencia,0.0,0
Gardarèm,0.0,0
Il Ritrovo,0.0,0
Sous L'Escalier Petite Arvine du Valais,0.0,0
