name,avg_ratings_average,total_ratings_count
Vosne-Romanée Premier Cru Aux Reignots,4.525,145
Red,4.5200000000000005,1220
Barolo Monprivato,4.514285714285714,2167
Overture,4.5,16804
Grand Siècle Champagne (Grande Cuvée),4.5,9824
Limited Edition 10 Vendemmie,4.5,9453
Tenuta Nuova Brunello di Montalcino,4.5,7207
Papillon,4.5,5377
La Grande Année Brut Champagne,4.5,4949
Alexander Valley Cabernet Sauvignon,4.5,3609
Valpolicella Superiore Monte Lodoletta,4.5,3432
La Grande Dame Brut Champagne,4.5,2702
Flor de Pingus,4.5,2328
Isosceles,4.5,1490
Comtes de Champagne Blanc de Blancs,4.5,1483
Torre Muga,4.5,1233
Barolo Bricco Rocche,4.5,1144
Finca Bella Vista Malbec,4.5,1117
Mazzano Amarone Della Valpolicella Classico,4.5,1014
Pedro Ximenez Tradición 20 Years Old Vos,4.5,954
Hermitage La Chapelle Rouge,4.5,927
Fusion V,4.5,890
Georges De Latour Private Reserve Cabernet Sauvignon,4.5,790
One Point Five Cabernet Sauvignon,4.5,770
Malbec Argentino,4.5,747
Gran Reserva 890,4.5,744
Bramare Malbec Uco Valley,4.5,700
Clio,4.5,697
Dalmau Rioja,4.5,697
ARTEMIS Cabernet Sauvignon,4.5,627
Ornato Barolo,4.5,597
MV Rosé,4.5,588
Pinotage,4.5,511
Vecchie Vigne Brunello di Montalcino,4.5,506
Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',4.5,484
Gran Corte (VII),4.5,468
FAY Cabernet Sauvignon,4.5,451
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,4.5,446
Macán,4.5,438
Barón de Chirel Rioja Reserva,4.5,436
Trasnocho,4.5,427
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,4.5,424
Nicolás Catena Zapata,4.5,423
Turriga Isola dei Nuraghi,4.5,422
Beaune 1er Cru 'Clos des Mouches' Blanc,4.5,405
Terrasse à l'Ombre Côtes du Rhône,4.5,373
Gran Enemigo,4.5,358
Castello della Sala Muffato della Sala,4.5,329
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,4.5,314
Pieve Santa Restituta Sugarille Brunello di Montalcino,4.5,312
Pieve Santa Restituta Rennina Brunello di Montalcino,4.5,309
Barolo Monvigliero,4.5,302
Colheita Port,4.5,302
VIK,4.5,299
Douro,4.5,293
Vintage Port,4.5,293
Cuvée des Cadettes Châteauneuf-du-Pape,4.5,278
Le Désir,4.5,275
MV,4.5,265
Félix Callejo (Viñedos de la Familia),4.5,260
Les Poyeux Saumur Champigny,4.5,260
Reserve Pinotage,4.5,249
The Stork,4.5,242
Barbaresco Rabajà,4.5,238
Monte Bello,4.5,226
Vigna Colonnello Barolo Riserva Bussia,4.5,218
Per Sempre Syrah Toscana,4.5,212
Lindaflor Blend,4.5,205
Treinta y Dos Pinot Noir,4.5,205
Ribera del Duero,4.5,199
Amaya Arzuaga (Colección),4.5,192
Pym-Rae Red Blend,4.5,190
Ribera del Duero Prestigio,4.5,185
Altura Máxima Malbec,4.5,181
Ares,4.5,168
Calcarole Amarone della Valpolicella Classico,4.5,168
Toscana Bianco,4.5,164
Les Clos Chablís Grand Cru,4.5,162
Nosotros Single Vineyard Nómade,4.5,161
Lupi e Sirene Riserva,4.5,160
Conteisa Langhe,4.5,157
Giorgio Bartholomäus,4.5,153
Les Ruchons Sancerre Blanc,4.5,152
One Sixteen Chardonnay,4.5,146
6 Anime Puglia Rosso,4.5,140
Vigna Grande Cerzito Taurasi Riserva,4.5,138
N.P.U. Extra Brut Champagne (Nec Plus Ultra),4.5,137
Réserve Côtes-du-Rhône,4.5,137
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,4.5,134
Kurni Marche,4.5,132
Gabbro Toscana,4.5,125
Pignan Châteauneuf-du-Pape Réserve Rouge,4.5,125
Colheita Porto,4.5,121
Marmar,4.5,112
1694 Classification Red,4.5,111
Campo del Drago Brunello di Montalcino,4.5,109
Arché,4.5,101
Au Paradis Cabernet Sauvignon,4.5,98
Amarone Classico Monte Danieli,4.5,97
Étoile Rosé,4.5,97
Novicium Estate,4.5,96
Los Jabalíes Single Vineyard Malbec,4.5,95
80 Vecchie Vigne Primitivo di Manduria Old Vines,4.5,92
Gorgona,4.5,88
Hérédita Châteauneuf-du-Pape,4.5,87
V Red,4.5,84
Barrosu Cannonau di Sardegna Riserva Franzisca,4.5,83
Delicado Cosecha Pedro Ximénez,4.5,83
Moncerbal Bierzo (Corullón),4.5,83
Serral del Vell Brut Nature,4.5,83
Cà Bertoldi Amarone della Valpolicella Classico,4.5,78
Barbaresco Albesani,4.5,76
La Ricolma,4.5,74
Vosne-Romanée 1er Cru 'Aux Malconsorts',4.5,73
Ipsus Chianti Classico Gran Selezione,4.5,72
Malleolus de Sanchomartin,4.5,72
Duemani Cabernet Franc,4.5,71
Luminaria Primitivo di Manduria,4.5,71
Campogiovanni Brunello di Montalcino Riserva Il Quercione,4.5,68
Conde de Superunda,4.5,68
Chambolle-Musigny,4.5,67
Fanòi Primitivo,4.5,67
Quincha Corral,4.5,66
Ai Suma Barbera d'Asti,4.5,65
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.5,65
Pour Vous Sancerre,4.5,64
Academia Purcari Rară Neagră,4.5,63
Gratallops Partida Bellvisos,4.5,63
Ferro,4.5,61
Lilium Est Amarone Della Valpolicella Riserva,4.5,61
Vinha Centenaria Branco,4.5,61
Finca Garbet,4.5,60
Vigna Madonna Assunta La Villa Barolo Riserva,4.5,60
Puligny-Montrachet Enseignères,4.5,59
A50 Amarone della Valpolicella,4.5,58
Mas Via Gran Reserva Brut,4.5,57
B Bordicon Blend,4.5,55
Lux Vitis,4.5,54
Solare Toscana,4.5,54
Maria Adelaide Barbaresco,4.5,53
Blueline Estate Cabernet Sauvignon,4.5,52
Grand Vin,4.5,52
Negru de Purcari Limited Edition,4.5,48
Preta Cuvée David Booth Grande Reserva,4.5,48
Miserere,4.5,47
Barolo Bricco Gattera,4.5,46
Vigna Molsino,4.5,45
Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.5,44
Petrucci Melo,4.5,44
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,4.5,43
Grands-Échézeaux Grande Cuvée Vieilles Vignes,4.5,43
Piovesole Amarone della Valpolicella Classico,4.5,42
802.A Superblend,4.5,40
Cuvée Extase Blanc de Blancs Champagne Grand Cru,4.5,40
Meursault 1er Cru 'Les Genevrières',4.5,40
Morey-Saint-Denis Tres Girard,4.5,40
NŌ Rosso,4.5,39
